id	review
The Stranger Within 	fucking worst moment ever......its trash This movie was garbage 1:33 was that actually suppose to be scary?? LMAO Or "The Fight Over For A Penis" This is actually called STRANGER WITHIN!!!!!! it says right on the dvd.  I just saw this film...it's totally bulshit....I highly not recommended... Oh Billy, I thought you were done acting... ive seen those type of movies before total b.s. The title should'v been called "penis".  Baldwin RULES ! looks really thrilling
The Sugarland Express 	I wooon mah bay-bee back e.t. yes...but...but i have seen this....color purple really?? it s a good movie inspired by a true story from 1969 Great movie.  Thanks for uploading the clip.   Movies-and-Books-World a) It's not a competition, I've seen both and they're both goodb) Why compare the two? They're very different films in different genres. That's assuming you mean The Duelists, the Ridley Scott film of 1977 starring Harvey Keitel? If not, please inform me otherwise.
The Super Cops 	Simply put, folks, they don't make em like this anymore.  It was phenomenal in 1974, it's phenomenal in 2016 and it will forever be phenomenal. wish this was on dvd I just saw this on TCM. Great film from that era showing NYC. I live in NYC but was born in the 80s, but I wish I could've lived in NYC on the 70s, and hit up all the discos. I just watched this and thought it was great.  The real-life Greenberg and Hantz were as corrupt as they came. Not only that, they were incredibly cowardly, and they were suspected in several murders. One of them went to jail twice after he left the NYPD, the other lost his detective shield for drug smuggling. By any chance does anyone know if they the Real Life Cops portrayed in the movie had encounters the Legrands of Brooklyn as well as the Legendary Frank"Pee Wee" Matthews  and who was the Notorious Crime Family that they were fighting actually based on? Play it to a bust !!!(It's still that bad even today!!!)wwwdotcustomscorruptiondotcom,  Great movie about a couple of honest Cops. Something that is very rare and hard to find in most jurisdictions.I rate this as very entertaining and not as dramatic as Serpico, but fun with a serious side too. If you are or were a Cop, you will appreciate it quite a bit. Hopefully, you will appreciate it anyway. They don't make movies like this anymore. Problem is the corrupt system retaliated against these two fine cops because the corruption runs so deep in New York. Love Leibman and Selby ! I always hated most of the 1970s Westerns (with exceptions) especially the Spaghetti Westerns but I loved the 1970s crime dramas! 3 all time best (Based on true stories) 70s crime films: Super Cops/Serpico/The French Connection!!! U must be referring to David Selby - aka Richard Channing from Falcon Crest...damn good actor Wow it's Quentin Collins as New York cop. I saw this movie before I ever saw Dark Shadows in reruns, and when I saw The Quentin Collins episodes, I thought to myself, "Man, that guy looks familiar" but couod never figure it out coz I never saw this movie again. I grew up in NY around this time. Grubby as it looks in this movie, in person it looked a lot dirtier. Don't ever come to Australia, that's what Australian Police are like. Some nice birds in the movie though. Looovve this film. this film is available for purchase at warnerarchive[dot]com good movie isaw it when it came out where can i see the whole film? David is gorgeous!
TNT Jackson 	Its funny that I saw this movie when I was young little more cheesier now but still entertaining not bad In orthopedic medicine, traction refers to the set of mechanisms for straightening broken bones or relieving pressure on the spine and skeletal system.In other words, she'll break every bone in your body. Saw this movie on Epix on demand this morning, it was cheesy fun. I still don't get the tag line at the end "She'll put you in Traction".
The Taking of Pelham 	One Two Three Still, much better than new version! I accidentally saw the new one on TV1000 one day, as I casually turned on the TV, had no idea which film it is, but the story seemed so familiar, and after a while it hit me - this has to be a remake of that good old film I saw as a kid with Robert Shaw! And with all the effects and a great direction by Tony Scott, it still can't touch the original film! Maybe I'm just a hopeless romantic, I know that if you even try to show it as a comparison with some teen kid from nowadays, he/she will laugh at me, but, that's the way I feel about it! He's from Lancashire, btw ,that Robert Shaw the movie was a disappointment.  old denzel's black ass is going to save the city from old fat Joana Travolta.  LOL.. UFC legend rich Franklin born 10 5 1974 a few days after this films release and also the black hawk chopper introduced in October 1974.and in October 1974 Ali vs foreman fight GREAT FILM! 'NUFF SAID!!! Baby Stewie said "You'll be suuurrrrPRISED at wot's physically possible!". :) I love this movie ! Just watched this and it's the best in film fiction dialogue I really was impressed. Just think... a couple concealed carrying men could of ended all of this before it even started. Possibly even one man. One of the rare trailers from 70s America that doesn't spoil anything to the audience.It just sets you up for what you're about to see. Robert Shaw such a Great actor . . .died far to young at 51. . . One of the great NYC movies!  And that theme song, who can top that!?  Superb cast, tight pacing, excellent script - the remake is so weak in comparison! 1:09 The Mayor's Office has a king sized bed? Looks very scary. RIP Joseph Sargent, you will always be remembered for directing this crime thriller masterpiece and I hope the Academy Awards puts you in the online version of the In Memorial segment or it's going to get ugly. Action, drama, comedy, great script and superb acting makes for one of the most entertaining movies of the 1970's. Superb cast. This was filmed in the real New York Subway and the producers had to buy anti-hijacking insurance to prevent this from really happening..
The Teacher 	Nice movie, it just took me 2:20 to watch it :) This teacher is such a milf fit he BOSS Roses are red violets are blue I came for the thumbnailAnd so did you thinking about Emmanuel Macron .. "What kind of teacher you are?" Halfway into the video "Wait that's really not Josh Peck?!?!" All these adorable movies.. *sigh* I need to watch some rom coms.  Too bad I don't have a job right now and haven't been on a date for years . Flim sex kore f 0:08 Fat Zlatan Ibrahimovic wth everything about this trailer screams - "go get out, run for your life now" im already loving it ,,. julianna Moore is good looking for her age Damn, he screwed the mom AND daughter.Now if only he did it at the same time- that'd be whats called a superman. Rushmore Academy... Why is this recommended?? What kinds of porn is this?
Tell Me Where It Hurts 	what' s the name of the movie? that song is everything <3 GO PREDS HO! I saw this movie with my son we loved it and all the songs in it. What movie is this? I Love This Song I'm gonna watch it a couple of million times, just cause this deserve it.. pls sub in my Chanel if you write my survival episode (1) you will find my pls sub gay es cierto... entendi nada what is the filme name ? GO PREDS GO!
Terror on the 40th Floor 	So this is the tv movie that was released prior to Allen's The Towering Inferno hit the theaters.  Obviously the difference between the special effects in Trapped to the Oscar winning SFX in The Towering Inferno is clear. Plus the added heat of both Steve McQueen and Paul Newman gives TI the edge. This was released for TV a few months before The Towering Inferno debuted on the screen...Not bad for a TV skyscraper disaster...At least it kept the concept in your mind until TTI... This movie came out the same year The Towering Inferno did. @DC322  you can buy this at revenge horror dot com
The Texas Chain Saw Massacre 	better than the original texas chainsaw massacre 2-4 whey they get fucked and rubbed before death...? bloody! Super film man I want the link of this movie please someone give me the link Holy Mother of Hong Jisoos Christ Worst remake ever this film is a fucking shit , the best texas chinsaw with Jessica Biel The most stupid move ever made, what a junk! I cant believe how bad this movie was such a disgrace to the texas chainsaw franchise What's Fuck This movie still ain't out? When I was little I always want to watch the movie when I first saw the trailer in theaters but that didn't happen because my mom say it may contain nudity (back then I was unconfrible of nudity, but I'm not anymore when I got older) I never watch a horror movie that's rated R in theater. i thought the trailer was better than the movie. but the movie wasnt awful i guess. id watch it again only watched it because alexandra daddario is so fucking hot hola I actually like this movie because even though its the same concept as the other 2 remakes, { 4 teenagers or alike traveling in a van and get in a house and then leatherface happens}, but this one has a twist on a story so it was good. It makes leatherface a good guy sort of { i was bullied back in the day and now i take revenge thing etc}.  I like this movie. This looked so cool when I first saw it... Is every horror movie have the main character that is a girl , that is stupid     Holloween , Friday the 13th , Nightmare on elm street , Texas chainsaw massacre , all the main horror movies , and all have the main characters are girls that make stupid decisions . I have the same emblem ghost recon wildland
That's Entertainment! 	<ahem> NOT in HD. so the trailer  lied After watching this movie in a theater when it was first released, I went home and watched President Nixon resign on live TV. "It will never happen again."Two years later....
Thieves Like Us 	trailers are just not this raw any more...they're just straight up manipulative and boring. This was the movie that got Louise Fletcher the role of Nurse Ratched in One Flew over the Cuckoo's Nest. The director and producers watched this movie to see if Shelley Duvall would be good in the role of Candy in Cuckoo's Nest, and instead decided that Fletcher would be good as Nurse Ratched. I recently saw this interesting movie on Netflix however, I can't seem to find the soundtrack from this movie anywhere!
This Is a Hijack 	i wanna watch this movie!!!! Adam Roarke!!! crazy Larry and dirty Mary fame!!
The Three Musketeers 	This movie is brought to you by writers of the Matrix Trilogy and Directed by Michael Bay (Explosions). I wish this was a series hai Wow, they had airships back then!! 0_0 Honestly, this isn't a good movie. If you know the series, you'd be bitterly disappointed watching this. And it has one trait that all American adoptations have, which I hate in particular. The American pronounciation of French names. It's almost like they do it on purpose, like they didn't even try... And I'm guessing they didn't. Even the fantastic 'man in the iron mask' has this problem. Look I was able to properly pronounce D'Artag  at 10, and while I do live in Europe, my first language isn't in the same language group as French. It's no ''harder'' for me to pronounce French, and I can do it with relative ease, and I'm not special at all. I can't be the only one who got an assassins creed kinda vibe from this movie I don't care what anyone says, this movie was fucking brilliant and surprisingly faithful to the book, airship Peter pan battles aside lmao i cant express how shit this movie is shit movie ay. milla jovovich is the UGLIEST person ever . gross looking mut shit actress ruined the movie in the opening scene. Skip this shit and watch the BBC series, it's so much better xx Mr Darcy, Will Turner, and Charlie in the same movie? Sign me up! Airships?? In a movie which shows a story which happened in the 17th century?? I understand it's 2000's movie,but special effects shouldn't be there in this measure!! It is an...entertaining movie,let's say,but faaaar faaaar away from Dumas's story! R.I.P Dumas This is a Dumas movie. Amirite? Shit's about to get MEDIEVAL..literally i think there will be part 2 bbecause this is suck! i mean suck...i love you milla! please paul w.s.anderson do this movie again but this time make it better please! Dumas is still rolling in his grave Rather entertaining film but why the airships? The film could have been without them especially since they were impossible to build with 1600 Tech,. ik vraag me af waarom er geen vervolg kwam, want het einde gaf teken voor een vervolg, net als the golden compass I just came here for Logan Lerman LOL
Three the Hard Way 	Jive turkeys DOPEST music in these movies the brother cesman 83 said that why they didn't put Richard roundtree in the movie and make it 4 the hard way its because 3 is the magic number baby can you dig it oooyyyyeeeeeee! "Art Imitating Life"coming to a "CITY NEAR YOU","Rockaby baby........",lol.unfortunately to many walkin round in an "ALTERED STATE",aint prevy to "heads or what's planned for their tails",lol,yet we pay to see/read the cleff notes on these she igans,which aint gonna MANIFEST to garnered them the VICTORS,lol. oyeeeeeeeeeeeeeeeeeeeeeeeee Re: Richard Roundtree's (Shaft) absence: He was filming the "Shaft" TV series (YES...there IS one!) probably around the same time as this movie was being filmed.  So he would not have been available to participate without MGM suing him to pieces! Seeing the part with THE IMPRESSIONS in the studio was a ill and funky moment,right there.The 3 GODFATHERS of CINEMA SOUL. A must own film. A well done film considering the budget. man that's bad ASS ! At that Point in time Richard probably wanted too much money or more of a lead role... Shaft was main stream compared to this movie. I wonder why they didn't throw in Richard Roundtree and make it "Four the Hard Way"? hahaha Brwon came in blasting.. I remember my dad watching all these movies when I was a kid The Bad Guy in this movie is insane--without bruthas and sistas--the world would have NO soul!! @ oldschoolbx1970This movie hit the big screen when I was 4 years old.It brings back so many memoriesWhen my Family use to go the moviesTogether in Harlem On 125th street
Thunderbolt and Lightfoot	 wow that's a funky track looks like fun ! Busey IS in the movie MAYBE watch the movie, be sure of something BEFORE making a comment/mistake. BETTER TO REMAIN SILENT AND BE THOUGHT A FOOL RATHER THAN OPEN YOUR MOUTH AND REMOVE ALL DOUBT.words to live by Thumbs down because the uploader thought this was a Gary Busey movie. yes he is, he works with lighfoot as a landscape gardner GARY BUSEY IS NOT IN THIS MOVIE!!!!! Even though IMDB says so.....Look up the actor your thinking of, his name is George Kennedy.... Dirty Harry meets The Dude.. looks good.
Thursday's Game 	Amazing Movie his most underrated..Love it..Thanks for posting..Gene Wilderone guy I wished I metGenius and just a great sweet lovable Human beingthe World lost an incredible talenthim and the lovely Gilda Radner together somewhere againmaybe..they always belonged togetherand the great Bob Newharteven Valerie Harper and  cy Walker are in itand the great Rob Reinergreat classic TV show cast members came out of this movie..or were already in themGene WIlderR.I.P.you will be missedGod Blessand Thank You for making us laugh and will continue toohis legacy will live on foreverhe did what he was born to do..make the World LaughRnR BabyNiki B Just look at this cast:  Gene Wilder, Bob Newhart, Ellen Burstyn, Cloris Leachman,  cy Walker, Valerie Harper, Rob Reiner, and Norman Fell!   cy Walker is especially good in this. Thanks for posting this treat. Haven't seen this movie in many years. It still holds up. Thank you for posting it. Greetings from Europe and from one of the hottest Gene Wilder's fans on Planet Earth! Thank You very much for this movie that I didn't know. Very appreciated. According to the Roman numerals, this movie was 1972. I remember seeing this.Ellen Burstyn was my favorite actress back then.Saw her on Bway in 1975. Lol. That's the wimpiest fight I have ever seen ;)! @FF7Destiny, you are welcome. I am glad you like it.  Ha ha, that is so funny! 'I'm winning, I'm winning!' -Punch- 'I'm losing, I'm losing!' Thank you for uploading! C: @Antea13 Well, a cookie bouquet for them too! @ScarletWilder thank you/ I live in Russia and had no chance to see it too. User vtkfxtpsxiz helped me to find it. Thankyou so much for uploading xx I live in the UK and have been waiting a VERY long time to see this :)
The Towering Inferno 	This is how real movies were made. Robert Vaughn and Steve McQueen starred in The Magnificient Seven who starred with Faye Dunaway in The Thomas Crown Affair who starred with William Holden in Network Robert Vaughn and Steve McQueen starred in The Magnificient Seven who starred with Faye Dunaway in The Thomas Crown Affair who starred with William Holden in Network 9/11 confirmed. Inside job How is this "entertainment"? It's sick. Who watches stuff like this for fun? It makes me think of those poor people who were trapped in the World Trade Center. I remember watching this in theater! I was 12 or 13 and  I had nightmares about fires, being caught in one & not being able to get out, for a week! riveting absolutely riveting Now this movie should be on MST3K! Principal photography ended September 11, 1974. Die Hard brought me here. The author of "Nothing Lasts Forever", which was adapted for the first Die Hard, was inspired by this movie. i was so excited when i was a kid that my dad was going to take me to see this i couldn't sleep the night before.great innocent times O.J Simpson caught me off guard lmao An amazing film, especially for it's time when there were no CGI effects at all. Everything was miniature models. It was nominated for best picture What caused the fire anyway? One of the definitive disaster movies but I still prefer The Poseidon Adventure. The color and clarity of this look really good....though of course, the film's utter trash :) Even movie trailers in the 70's gave away the ending. I wonder if O.J Simpson and Robert Wagner discussed getting away with murder during the filming of this.... Whoever was responsible for casting this all-star bonfire, assuming their still alive, they most likely profusely regret casting O.J Simpson as the Head of Security I remember seeing this at the drive in and in the theater.. I was 4. Guess my dad liked this movie a lot to take us to see it twice
Le trio infernal 	I love this movie!!!! Romy Schneider is the best actress ever!
Truck Turner 	" Hide your mamas, the big brother of soul is making a new music... and it's MEAN JIVE!!" Best trailer ever!!!!!! is that the voice from the transformrs cartoons in the 80s?? great movie Good old time currensy the life of Harvard Blue brought me here Best breakfest served - Big Black Dick slapped on your cheek One dislike = one moron. "He's a skip tracer, the last of the bounty hunters, living on blood money and borrowed time." So this is what Uhura does on the side when she is not schlepping away at the com desk. "I brought some beer" - Best Pickup Line Ever I worked for this director, on and off for many years, a real character, utterly brilliant and the coolest cracker in Hollywood! south park made me watch it Best Movie Trailer Ever! Yaphet Koto AKA Dr. Ka ga/Mr Big I loved this movie. RIP. Mr. Hayes Brother Isaac Hayes is the man.
